"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2873","opensSamplerAndChecksUrl()","","2025-12-11","passed","2025-12-11","","testsuite5.SamplerInteractionTest","testsuite5.SamplerInteractionTest","opensSamplerAndChecksUrl"
"","2404","testDemoButtonClick()","","2025-12-11","passed","2025-12-11","","testsuite8.DemoVaadinSamplerPageTest","testsuite8.DemoVaadinSamplerPageTest","testDemoButtonClick"
